id;geometry;basin_name;eu_hydro_id;object_nam;area;river_km
113203;MULTIPOLYGON(((2954762.0829 4844013.3429,2954721.5639 4844013.3429,2954701.3044 4844020.9402,2954703.8368 4844051.3294,2954713.9666 4844076.6537,2954706.3693 4844104.5105,2954673.4476 4844139.9646,2954650.6557 4844167.8214,2954602.5394 4844210.8728,2954572.1502 4844258.9891,2954559.4881 4844294.4432,2954559.4881 4844332.4297,2954587.3448 4844378.0135,2954605.0719 4844426.1298,2954622.7989 4844464.1163,2954663.3179 4844497.038,2954693.7071 4844514.765,2954726.6288 4844532.492,2954767.1477 4844532.492,2954812.7316 4844507.1677,2954840.5883 4844474.246,2954848.1856 4844418.5325,2954822.8613 4844367.8838,2954812.7316 4844317.2351,2954807.6667 4844253.9242,2954805.1342 4844203.2755,2954820.3289 4844175.4187,2954843.1208 4844152.6268,2954860.8478 4844107.043,2954815.264 4844046.2645,2954762.0829 4844013.3429)));Iceland;IW23002411;UNK;99594.20;None
113207;MULTIPOLYGON(((2951558.704 4843927.1643,2951600.4298 4843919.2166,2951617.4021 4843937.2175,2951652.1576 4843945.9063,2951688.6509 4843926.7908,2951704.2909 4843935.4797,2951728.6198 4843973.7108,2951742.522 4844013.6797,2951798.1309 4844060.5996,2951836.362 4844069.2885,2951865.9042 4844060.5996,2951867.3313 4844056.3185,2951874.5931 4844034.533,2951879.8064 4843994.5641,2951888.4953 4843959.8086,2951893.1177 4843945.9413,2951898.922 4843928.5286,2951921.9931 4843902.9367,2951925.5998 4843907.691,2951949.3175 4843938.9552,2951975.3842 4843973.7108,2951991.0242 4843978.9241,2952004.9264 4843973.7108,2952004.9264 4843944.1686,2951989.2864 4843909.413,2951964.9575 4843883.3464,2951971.9086 4843871.1819,2951996.2375 4843869.4441,2952010.1397 4843878.133,2952029.2553 4843900.7241,2952048.3708 4843925.053,2952051.8464 4843954.5952,2952060.5353 4844003.253,2952081.3886 4844015.4174,2952147.4241 4844024.1063,2952171.753 4844006.7285,2952181.6466 4843980.3455,2952187.393 4843965.0219,2952192.6063 4843909.413,2952201.2952 4843881.6086,2952244.9939 4843866.3859,2952250.0587 4843833.4642,2952267.1827 4843815.439,2952244.7396 4843786.0308,2952227.3619 4843759.9642,2952206.5085 4843728.6842,2952136.9975 4843681.7642,2952086.6019 4843645.2709,2952052.4364 4843629.8964,2952051.8464 4843629.6309,2952032.7308 4843629.6309,2952013.6153 4843638.3198,2951970.331 4843706.5094,2951923.3746 4843724.5695,2951878.8438 4843732.2472,2951865.9042 4843744.3242,2951824.1975 4843775.6042,2951801.6064 4843780.8175,2951775.5398 4843772.1286,2951726.882 4843749.5375,2951697.3398 4843735.6353,2951662.5843 4843723.4709,2951606.9754 4843719.9953,2951561.7932 4843721.7331,2951467.5363 4843747.3614,2951415.6214 4843803.075,2951466.2701 4843977.813,2951496.6593 4843957.5535,2951518.185 4843937.2941,2951558.704 4843927.1643)));Iceland;IW23002415;Ampapollur;198812.77;None
113226;MULTIPOLYGON(((2953361.4283 4841883.3521,2953315.7364 4841863.0446,2953300.5058 4841875.7368,2953325.8902 4841908.7366,2953374.1205 4841929.0441,2953396.9665 4841959.5054,2953445.1969 4842002.6589,2953473.1197 4842030.5817,2953488.3504 4842129.5809,2953475.6582 4842180.3497,2953470.5813 4842228.5801,2953483.2735 4842297.118,2953490.8888 4842309.8102,2953516.2732 4842464.6551,2953539.1192 4842482.4242,2953574.6574 4842490.0395,2953638.1184 4842490.0395,2953686.3488 4842482.4242,2953691.4256 4842464.6551,2953681.2719 4842411.3478,2953660.9644 4842391.0403,2953635.5799 4842350.4253,2953635.5799 4842302.1949,2953650.8106 4842253.9645,2953676.195 4842193.0419,2953676.195 4842139.7347,2953671.5702 4842104.2774,2953668.5797 4842081.3505,2953660.9644 4842038.197,2953617.8109 4842020.428,2953579.7343 4841992.5051,2953528.9654 4841964.5823,2953470.5813 4841939.1978,2953409.6587 4841913.8134,2953361.4283 4841883.3521)));Iceland;None;Óşnýtavatn fremra;96519.92;None
113225;MULTIPOLYGON(((2955103.5108 4842457.0032,2955052.1684 4842423.3651,2955037.8214 4842391.2553,2955037.8214 4842338.2035,2955039.3372 4842298.7936,2955049.9476 4842251.8049,2955051.4633 4842204.8161,2955049.9476 4842139.6382,2955042.3687 4842107.8072,2955039.3372 4842056.2712,2955036.3057 4842012.314,2955010.5377 4841981.9987,2954967.1833 4841968.9923,2954965.0647 4841968.3568,2954919.5918 4841956.2307,2954887.7607 4841956.2307,2954845.5914 4841956.2307,2954845.3193 4841956.2307,2954805.9094 4841950.1676,2954763.468 4841942.5888,2954724.0581 4841935.01,2954686.1639 4841921.3681,2954661.9117 4841912.2735,2954625.5333 4841903.1789,2954581.5761 4841898.6316,2954545.1978 4841898.6316,2954517.914 4841904.6947,2954372.4399 4841964.5457,2954331.8248 4841979.7764,2954268.3638 4842040.699,2954215.0331 4842106.7275,2954210.2137 4842116.9018,2954192.0245 4842151.7644,2954182.7259 4842172.6863,2954173.8353 4842192.69,2954160.1934 4842224.5211,2954138.9727 4842276.0571,2954120.6292 4842383.1422,2954132.9097 4842418.539,2954134.3709 4842422.0095,2954145.0358 4842447.3386,2954155.6461 4842468.5593,2954175.3511 4842494.3273,2954198.0876 4842512.5165,2954223.8556 4842532.2214,2954264.7812 4842554.9579,2954308.7384 4842577.6944,2954352.6956 4842588.3047,2954368.7013 4842593.0123,2954404.2316 4842603.4624,2954446.673 4842665.6087,2954466.378 4842683.7979,2954496.6933 4842700.4713,2954552.7766 4842701.9871,2954569.45 4842714.1132,2954625.5333 4842768.6808,2954648.2698 4842782.3227,2954710.4162 4842788.3857,2954757.4049 4842805.0591,2954792.2675 4842815.6695,2954831.6774 4842815.6695,2954861.9927 4842808.0907,2954887.7607 4842818.701,2954908.9814 4842838.406,2954925.6548 4842861.1424,2954951.4228 4842886.9104,2955007.5061 4842918.7415,2955045.4003 4842942.9938,2955075.7156 4842973.3091,2955113.6097 4843011.2032,2955181.8191 4843041.5185,2955224.2605 4843050.6131,2955269.7335 4843058.1919,2955292.47 4843058.1919,2955361.6406 4843014.2462,2955379.484 4843002.9099,2955431.3348 4842946.7383,2955439.4992 4842903.5839,2955451.6253 4842874.7843,2955462.2357 4842830.8271,2955460.7199 4842805.0591,2955447.7722 4842782.1516,2955448.5938 4842755.0389,2955448.5938 4842730.7866,2955444.0465 4842705.0186,2955428.6077 4842676.7141,2955425.8573 4842671.6718,2955404.6366 4842626.1988,2955404.6366 4842603.4624,2955403.1208 4842579.2101,2955390.9947 4842562.5367,2955289.4384 4842542.8318,2955143.3861 4842491.441,2955103.5108 4842457.0032)));Iceland;None;Óşnýtavatn;869701.61;None
113223;MULTIPOLYGON(((2955975.9911 4844099.4266,2956008.9908 4844056.2731,2956034.3752 4844008.0428,2956080.0671 4843975.043,2956125.7591 4843959.8124,2956143.5281 4843906.5051,2956138.4513 4843860.8132,2956123.2206 4843807.5059,2956077.5287 4843797.3522,2956014.0677 4843797.3522,2955965.8373 4843797.3522,2955917.6069 4843825.275,2955879.5303 4843870.967,2955849.069 4843903.9667,2955816.0693 4843919.1973,2955783.0696 4843903.9667,2955742.4545 4843865.8901,2955673.9166 4843761.814,2955633.3016 4843756.7371,2955602.8403 4843810.0444,2955602.8403 4843845.5826,2955595.2249 4843901.4283,2955590.1481 4843936.9664,2955590.1481 4843980.1199,2955615.5325 4844018.1965,2955633.3016 4844046.1194,2955666.3013 4844081.6576,2955701.8395 4844081.6576,2955744.9929 4844079.1191,2955780.5311 4844076.5807,2955823.6846 4844076.5807,2955856.6843 4844101.9651,2955887.1456 4844117.1957,2955925.2222 4844117.1957,2955975.9911 4844099.4266)));Iceland;None;Litla-Skálavatn;125774.21;None
113205;MULTIPOLYGON(((2953625.0195 4843499.2586,2953538.9167 4843476.4666,2953503.4627 4843494.1937,2953473.0734 4843529.6478,2953455.3464 4843580.2965,2953465.4761 4843641.0749,2953508.5275 4843714.5155,2953579.4357 4843777.8264,2953703.525 4843851.267,2953744.044 4843879.1238,2953804.8224 4843889.2536,2953873.1982 4843891.786,2953954.2361 4843901.9157,2954017.547 4843904.4482,2954075.793 4843904.4482,2954126.4417 4843899.3833,2954146.7011 4843886.7211,2954184.6877 4843808.2156,2954189.7525 4843775.294,2954166.9606 4843739.8399,2954118.8444 4843699.3209,2954060.5984 4843638.5425,2953997.2875 4843595.4911,2953933.9766 4843570.1667,2953860.536 4843542.31,2953741.5115 4843522.0505,2953625.0195 4843499.2586)));Iceland;IW23002413;UNK;206451.39;None
118795;MULTIPOLYGON(((2953487.794 4844809.5451,2953477.0322 4844817.7334,2953437.3447 4844833.6084,2953415.1196 4844855.8335,2953391.3071 4844879.646,2953369.082 4844908.2211,2953343.682 4844925.6836,2953307.1694 4844949.4962,2953207.3192 4844998.3843,2953394.7194 4845066.7601,2953396.2012 4845073.9223,2953452.814 4845054.1737,2953503.4627 4845028.8493,2953551.5789 4845016.1871,2953599.6952 4845028.8493,2953637.6817 4845011.1223,2953650.3439 4844973.1357,2953663.0061 4844897.1627,2953665.5385 4844846.514,2953680.7331 4844805.995,2953698.4602 4844803.4626,2953728.8494 4844846.514,2953741.5115 4844889.5654,2953749.1089 4844955.4087,2953733.9142 4844998.4601,2953711.1223 4845069.3683,2953718.7196 4845130.1467,2953736.4467 4845173.1981,2953776.9656 4845178.263,2953809.8873 4845190.9251,2953817.4846 4845211.1846,2953804.8224 4845264.3658,2953756.7062 4845264.3658,2953723.7845 4845264.3658,2953683.2655 4845271.9631,2953670.6034 4845304.8847,2953673.1358 4845340.3388,2953695.9277 4845370.728,2953733.9142 4845388.4551,2953792.1602 4845401.1172,2953812.4197 4845390.9875,2953840.2765 4845383.3902,2953870.6657 4845380.8578,2953895.9901 4845375.7929,2953936.509 4845375.7929,2953966.8983 4845411.247,2954017.547 4845398.5848,2954042.8713 4845353.001,2954058.0659 4845299.8198,2954090.9876 4845297.2874,2954126.4417 4845327.6766,2954151.766 4845358.0659,2954207.4796 4845363.1307,2954253.0634 4845325.1442,2954247.9985 4845282.0928,2954215.0769 4845259.3009,2954177.0904 4845221.3144,2954156.8309 4845188.3927,2954128.9741 4845150.4062,2954128.9741 4845117.4845,2954151.766 4845099.7575,2954197.3498 4845120.017,2954242.9337 4845145.3413,2954275.8553 4845145.3413,2954308.777 4845125.0818,2954336.6338 4845059.2385,2954356.8933 4845008.5898,2954369.5554 4844925.0195,2954369.5554 4844861.7086,2954364.4906 4844818.6572,2954339.1662 4844770.5409,2954331.5689 4844742.6841,2954334.1013 4844704.6976,2954336.6338 4844641.3867,2954341.6986 4844580.6083,2954364.4906 4844537.5569,2954397.4122 4844507.1677,2954450.5933 4844459.0514,2954493.6447 4844410.9352,2954503.7745 4844367.8838,2954503.7745 4844304.5729,2954480.9826 4844276.7161,2954450.5933 4844246.3269,2954435.3987 4844208.3404,2954437.9312 4844160.2241,2954440.4636 4844119.7051,2954422.7366 4844071.5889,2954394.8798 4844053.8618,2954361.9581 4844048.797,2954321.4392 4844048.797,2954278.3878 4844074.1213,2954268.258 4844109.5754,2954270.7905 4844185.5484,2954283.4526 4844238.7296,2954303.7121 4844271.6512,2954344.2311 4844327.3648,2954369.5554 4844355.2216,2954382.2176 4844393.2081,2954356.8933 4844433.7271,2954339.1662 4844446.3893,2954313.8419 4844471.7136,2954263.1932 4844509.7001,2954247.9985 4844567.9461,2954250.531 4844616.0624,2954250.531 4844641.3867,2954263.1932 4844666.7111,2954298.6472 4844709.7625,2954296.1148 4844762.9436,2954288.5175 4844780.6707,2954260.6607 4844778.1382,2954220.1418 4844765.4761,2954184.6877 4844760.4112,2954139.1038 4844770.5409,2954088.4551 4844770.5409,2954055.5335 4844742.6841,2954027.6767 4844724.9571,2953992.2226 4844704.6976,2953941.5739 4844689.503,2953885.8603 4844681.9057,2953858.0036 4844651.5165,2953820.017 4844626.1921,2953803.6455 4844624.6329,2953780.2453 4844639.933,2953731.0327 4844684.3831,2953697.6952 4844720.8957,2953670.7076 4844752.6458,2953648.4826 4844778.0458,2953623.0825 4844811.3834,2953589.745 4844839.9584,2953564.3449 4844833.6084,2953533.8519 4844816.1248,2953487.794 4844809.5451),(2953869.6003 4844973.852,2953843.6055 4844955.6556,2953859.2024 4844927.0612,2953903.3937 4844927.0612,2953960.5824 4844976.4515,2954022.9701 4845041.4387,2953986.5773 4845101.2269,2953960.5824 4845174.0126,2953924.1896 4845210.4054,2953916.3715 4845205.5191,2953918.3581 4845171.7466,2953921.5331 4845135.234,2953932.6457 4845114.5965,2953953.2832 4845052.6839,2953959.6332 4845019.3463,2953931.9881 4844984.25,2953869.6003 4844973.852)));Iceland;None;Breiðavatn;515331.66;None
113611;MULTIPOLYGON(((2936679.4872 4849509.6154,2936704.1667 4849491.9872,2936739.4231 4849491.9872,2936774.6795 4849491.9872,2936806.4103 4849474.359,2936809.9359 4849442.6282,2936785.2564 4849417.9487,2936714.7436 4849417.9487,2936654.8077 4849414.4231,2936589.5833 4849396.7949,2936563.141 4849356.25,2936520.8333 4849333.3333,2936464.4231 4849340.3846,2936436.2179 4849403.8462,2936453.8462 4849435.5769,2936503.2051 4849474.359,2936545.5128 4849495.5128,2936591.3462 4849513.141,2936637.1795 4849527.2436,2936679.4872 4849509.6154)));Iceland;IW23002819;Laufdalsvatn;37730.15;None
113157;MULTIPOLYGON(((2933984.8713 4850962.2688,2933817.7306 4850936.9444,2933731.6278 4850891.3606,2933650.5899 4850810.3227,2933488.514 4850714.0901,2933467.2006 4850700.7692,2933384.9668 4850583.1448,2933375.6405 4850553.3007,2933362.5837 4850510.3998,2933355.204 4850494.9695,2933344.9013 4850473.4274,2933342.0659 4850467.4989,2933325.2786 4850446.9811,2933274.9167 4850419.0022,2933250.6683 4850419.0022,2933228.2852 4850424.598,2933207.7674 4850433.9243,2933161.136 4850437.6548,2933159.3428 4850438.7096,2933129.4266 4850456.3073,2933103.313 4850469.3641,2933064.1426 4850499.2083,2932960.657 4850578.6118,2932936.4432 4850643.1819,2932880.7296 4850749.5442,2932855.4053 4850840.7119,2932855.4053 4850906.5552,2932870.5999 4851012.9175,2932855.4053 4851119.2797,2932855.4053 4851230.7069,2932890.8594 4851337.0691,2932900.8453 4851347.055,2932941.0356 4851407.5885,2932980.206 4851471.0072,2932998.8586 4851502.7166,2933030.568 4851549.348,2933066.0079 4851597.8447,2933131.2919 4851674.3203,2933168.597 4851700.4339,2933209.6327 4851722.817,2933256.2641 4851752.6611,2933308.4913 4851778.7747,2933358.8532 4851803.023,2933405.4847 4851819.8103,2933450.2508 4851831.0019,2933495.017 4851834.7324,2933543.5137 4851834.7324,2933590.1451 4851825.4061,2933613.5978 4851813.1669,2933663.5095 4851787.1195,2933680.9791 4851777.7128,2933736.6927 4851721.9993,2933843.0549 4851661.2208,2933903.8334 4851656.1559,2933979.8064 4851640.9613,2934096.2984 4851534.5991,2934179.4407 4851398.946,2934207.5452 4851372.1486,2934235.5241 4851291.9426,2934256.0419 4851237.8501,2934265.3682 4851194.9492,2934263.503 4851159.5093,2934261.6377 4851120.3389,2934246.7156 4851088.6295,2934211.2758 4851047.5939,2934186.5624 4851035.7283,2934049.3663 4850969.8564,2933984.8713 4850962.2688)));Iceland;IW23002365;Hrafnabjargavatn;1257189.12;None
113254;MULTIPOLYGON(((2964971.2133 4837982.5685,2964926.1472 4837952.5244,2964884.8367 4837960.0355,2964854.7927 4837997.5905,2964847.2817 4838046.412,2964862.3037 4838087.7225,2964907.3697 4838095.2335,2964941.1692 4838098.989,2964986.2353 4838114.011,2965020.0348 4838144.055,2965031.3013 4838185.3655,2965057.5898 4838260.4756,2965083.8783 4838283.0086,2965136.4553 4838290.5196,2965177.7658 4838279.2531,2965204.0543 4838234.1871,2965207.8098 4838181.61,2965204.0543 4838114.011,2965143.9663 4838068.945,2965087.6338 4838061.434,2965016.2793 4838012.6125,2964971.2133 4837982.5685)));Iceland;IW23002462;UNK;58290.95;None
